gen_1_0;gen_2_1;gen_5_2;gen_5_3;balance;gen_0_5
83.4;81.9;17.3;0.0;0.0;81.8
83.6;81.6;16.9;0.0;0.0;83.5
83.4;84.4;17.0;0.0;0.0;81.7
83.9;81.9;17.3;0.0;0.0;83.3
81.5;80.9;17.1;0.0;0.0;82.1
82.9;81.3;16.9;0.0;0.0;79.1
81.9;81.0;17.0;0.0;0.0;79.3
81.6;80.9;16.9;0.0;0.0;80.3
82.1;80.7;17.1;0.0;0.0;80.1
82.3;78.2;17.4;0.0;0.0;77.7
79.5;77.4;17.5;0.0;0.0;77.6
78.1;78.6;17.3;0.0;0.0;77.9
78.6;77.8;17.3;0.0;0.0;76.8
77.5;74.7;17.4;0.0;0.0;76.1
76.5;76.9;17.4;0.0;0.0;75.5
78.1;76.5;17.7;0.0;0.0;76.1
76.1;74.4;17.6;0.0;0.0;75.0
77.8;76.2;17.7;0.0;0.0;76.7
77.0;75.3;17.8;0.0;0.0;76.0
77.1;74.6;17.9;0.0;0.0;75.8
77.8;75.3;17.9;0.0;0.0;76.1
78.1;75.6;17.5;0.0;0.0;74.7
75.7;75.1;17.9;0.0;0.0;75.0
75.6;74.7;18.0;0.0;0.0;74.7
77.4;73.6;17.9;0.0;0.0;74.2
74.5;73.8;18.0;0.0;0.0;74.4
75.6;74.6;17.9;0.0;0.0;74.1
75.4;73.2;17.6;0.0;0.0;74.1
75.5;73.1;17.7;0.0;0.0;74.0
74.4;73.8;17.7;0.0;0.0;74.1
76.5;74.5;17.6;0.0;0.0;73.8
76.3;73.4;17.5;0.0;0.0;73.2
74.8;72.8;17.5;0.0;0.0;74.6
73.9;72.6;17.3;0.0;0.0;73.4
73.5;71.8;17.1;0.0;0.0;71.9
73.2;72.5;17.2;0.0;0.0;72.8
72.3;72.0;16.8;0.0;0.0;71.0
73.1;71.6;16.8;0.0;0.0;71.6
73.1;70.2;16.6;0.0;0.0;70.6
72.7;70.0;16.7;0.0;0.0;69.7
71.6;69.8;16.1;0.0;0.0;69.7
72.1;69.3;16.4;0.0;0.0;69.0
72.0;69.5;16.3;0.0;0.0;69.6
70.8;69.3;16.1;0.0;0.0;70.5
72.4;69.1;15.9;0.0;0.0;68.4
70.5;67.7;15.8;0.0;0.0;69.3
70.2;69.1;15.9;0.0;0.0;69.6
69.0;69.3;15.8;0.0;0.0;69.6
69.7;70.0;15.8;0.0;0.0;68.3
69.0;68.9;15.6;0.0;0.0;68.8
69.9;68.6;15.4;0.0;0.0;68.7
70.1;67.9;15.1;0.0;0.0;67.9
70.2;66.7;15.5;0.0;0.0;66.7
68.0;68.7;15.7;0.0;0.0;69.4
68.2;68.9;15.9;0.0;0.0;67.0
68.5;68.4;15.6;0.0;0.0;67.9
68.2;67.7;15.6;0.0;0.0;67.7
70.1;66.9;15.7;0.0;0.0;68.1
68.6;67.2;15.5;0.0;0.0;67.5
68.3;67.1;15.9;0.0;0.0;67.3
69.3;66.5;15.4;0.0;0.0;66.2
68.7;67.1;15.7;0.0;0.0;67.0
