gen_1_0;gen_2_1;gen_5_2;gen_5_3;balance;gen_0_5
83.9;82.1;17.1;0.0;0.0;82.1
83.8;82.0;17.0;0.0;0.0;82.0
83.6;81.8;17.1;0.0;0.0;81.8
83.3;81.6;17.1;0.0;0.0;81.6
83.0;81.2;17.0;0.0;0.0;81.2
82.5;80.7;17.1;0.0;0.0;80.7
81.9;80.2;17.1;0.0;0.0;80.2
81.3;79.5;17.1;0.0;0.0;79.5
80.5;78.8;17.2;0.0;0.0;78.8
79.8;78.1;17.2;0.0;0.0;78.1
79.0;77.3;17.3;0.0;0.0;77.3
78.3;76.6;17.3;0.0;0.0;76.6
77.7;76.0;17.4;0.0;0.0;76.0
77.2;75.6;17.5;0.0;0.0;75.6
77.0;75.3;17.6;0.0;0.0;75.3
76.9;75.2;17.6;0.0;0.0;75.2
76.9;75.2;17.6;0.0;0.0;75.2
76.9;75.2;17.7;0.0;0.0;75.2
76.9;75.3;17.8;0.0;0.0;75.3
76.9;75.2;17.8;0.0;0.0;75.2
76.7;75.1;17.8;0.0;0.0;75.1
76.5;74.9;17.9;0.0;0.0;74.9
76.2;74.6;17.9;0.0;0.0;74.6
76.0;74.4;17.9;0.0;0.0;74.4
75.7;74.1;17.9;0.0;0.0;74.1
75.5;73.9;17.8;0.0;0.0;73.9
75.3;73.7;17.8;0.0;0.0;73.7
75.3;73.7;17.7;0.0;0.0;73.7
75.2;73.6;17.6;0.0;0.0;73.6
75.1;73.5;17.6;0.0;0.0;73.5
75.0;73.4;17.5;0.0;0.0;73.4
74.7;73.2;17.4;0.0;0.0;73.2
74.4;72.8;17.3;0.0;0.0;72.8
74.1;72.5;17.1;0.0;0.0;72.5
73.6;72.1;17.0;0.0;0.0;72.1
73.2;71.6;16.9;0.0;0.0;71.6
72.8;71.2;16.8;0.0;0.0;71.2
72.4;70.8;16.7;0.0;0.0;70.8
72.0;70.5;16.6;0.0;0.0;70.5
71.7;70.2;16.5;0.0;0.0;70.2
71.5;70.0;16.3;0.0;0.0;70.0
71.3;69.8;16.2;0.0;0.0;69.8
71.1;69.6;16.1;0.0;0.0;69.6
70.9;69.4;16.0;0.0;0.0;69.4
70.7;69.2;15.9;0.0;0.0;69.2
70.4;68.9;15.8;0.0;0.0;68.9
70.2;68.7;15.7;0.0;0.0;68.7
69.9;68.5;15.7;0.0;0.0;68.5
69.7;68.3;15.6;0.0;0.0;68.3
69.5;68.1;15.6;0.0;0.0;68.1
69.4;67.9;15.6;0.0;0.0;67.9
69.3;67.8;15.6;0.0;0.0;67.8
69.2;67.8;15.6;0.0;0.0;67.8
69.2;67.7;15.6;0.0;0.0;67.7
69.1;67.6;15.6;0.0;0.0;67.6
69.0;67.5;15.6;0.0;0.0;67.5
68.9;67.4;15.6;0.0;0.0;67.4
68.8;67.3;15.7;0.0;0.0;67.3
68.7;67.3;15.7;0.0;0.0;67.3
68.7;67.2;15.7;0.0;0.0;67.2
68.6;67.2;15.8;0.0;0.0;67.2
68.6;67.2;15.9;0.0;0.0;67.2
68.7;67.3;15.9;0.0;0.0;67.3
68.9;67.4;15.9;0.0;0.0;67.4
69.0;67.6;16.0;0.0;0.0;67.6
69.2;67.7;16.1;0.0;0.0;67.7
69.4;67.9;16.2;0.0;0.0;67.9
69.5;68.0;16.2;0.0;0.0;68.0
69.6;68.1;16.3;0.0;0.0;68.1
69.7;68.2;16.4;0.0;0.0;68.2
69.7;68.3;16.5;0.0;0.0;68.3
69.8;68.3;16.5;0.0;0.0;68.3
69.9;68.5;16.5;0.0;0.0;68.5
70.1;68.6;16.6;0.0;0.0;68.6
70.3;68.8;16.6;0.0;0.0;68.8
70.6;69.1;16.7;0.0;0.0;69.1
70.9;69.4;16.7;0.0;0.0;69.4
71.2;69.7;16.7;0.0;0.0;69.7
71.5;70.0;16.8;0.0;0.0;70.0
71.7;70.2;16.8;0.0;0.0;70.2
72.0;70.4;16.8;0.0;0.0;70.4
72.1;70.6;16.8;0.0;0.0;70.6
72.3;70.8;16.8;0.0;0.0;70.8
72.5;70.9;16.8;0.0;0.0;70.9
72.6;71.1;16.8;0.0;0.0;71.1
72.8;71.3;16.8;0.1;0.0;71.3
73.0;71.5;16.7;0.2;0.1;71.5
73.3;71.7;16.6;0.3;0.2;71.7
73.6;72.0;16.6;0.4;0.2;72.0
73.8;72.3;16.5;0.5;0.3;72.3
74.1;72.5;16.5;0.7;0.4;72.5
74.2;72.7;16.4;1.0;0.6;72.7
74.4;72.8;16.3;1.4;0.8;72.8
74.5;72.9;16.2;1.8;1.0;72.9
74.5;72.9;16.1;2.3;1.3;72.9
74.5;72.9;15.9;2.8;1.6;72.9
74.5;72.9;15.8;3.3;1.9;72.9
74.5;72.9;15.7;3.8;2.2;72.9
74.5;73.0;15.5;4.2;2.4;73.0
74.6;73.1;15.4;4.6;2.6;73.1
74.8;73.2;15.2;5.0;2.8;73.2
74.9;73.3;15.0;5.4;3.0;73.3
74.9;73.3;14.8;6.0;3.3;73.3
74.9;73.3;14.7;6.5;3.7;73.3
74.8;73.3;14.5;7.2;4.2;73.3
74.7;73.1;14.3;7.9;4.9;73.1
74.5;72.9;14.1;8.6;5.8;72.9
74.3;72.8;13.9;9.4;6.6;72.8
74.2;72.6;13.8;10.2;7.2;72.6
74.2;72.6;13.6;11.0;7.5;72.6
74.3;72.7;13.4;11.7;7.6;72.7
74.4;72.8;13.3;12.5;7.7;72.8
74.4;72.8;13.1;13.4;7.9;72.8
74.2;72.6;13.0;14.3;8.5;72.6
74.0;72.4;12.9;15.2;9.2;72.4
73.7;72.1;12.7;16.2;10.0;72.1
73.4;71.8;12.6;17.0;10.6;71.8
73.3;71.8;12.5;17.6;10.8;71.8
73.4;71.8;12.4;17.9;10.6;71.8
73.7;72.1;12.3;17.9;10.2;72.1
74.1;72.5;12.3;17.4;9.7;72.5
74.7;73.1;12.2;16.3;9.2;73.1
75.3;73.7;12.2;15.0;8.9;73.7
75.7;74.1;12.2;13.9;8.8;74.1
