gen_0_5;gen_1_0;gen_2_1;gen_5_2;gen_5_3;balance
71.8;73.3;71.8;36.3;0.0;0.0
72.0;73.5;72.0;35.7;0.0;0.0
72.1;73.6;72.1;35.2;0.0;0.0
72.1;73.6;72.1;34.6;0.0;0.0
72.0;73.5;72.0;34.0;0.0;0.0
71.8;73.4;71.8;33.4;0.0;0.0
71.6;73.2;71.6;32.9;0.0;0.0
71.3;72.9;71.3;32.3;0.0;0.0
71.1;72.6;71.1;31.7;0.0;0.0
70.8;72.3;70.8;31.1;0.0;0.0
70.5;72.1;70.5;30.6;0.0;0.0
70.4;71.9;70.4;30.0;0.0;0.0
70.3;71.8;70.3;29.4;0.0;0.0
70.3;71.8;70.3;28.9;0.0;0.0
70.4;71.9;70.4;28.3;0.0;0.0
70.6;72.1;70.6;27.8;0.0;0.0
70.8;72.3;70.8;27.3;0.0;0.0
71.0;72.6;71.0;26.7;0.0;0.0
71.2;72.8;71.2;26.2;0.0;0.0
71.3;72.9;71.3;25.7;0.0;0.0
71.4;73.0;71.4;25.2;0.0;0.0
71.5;73.0;71.5;24.7;0.0;0.0
71.5;73.1;71.5;24.2;0.0;0.0
71.6;73.2;71.6;23.7;0.0;0.0
71.7;73.2;71.7;23.3;0.0;0.0
71.8;73.4;71.8;22.8;0.0;0.0
71.9;73.5;71.9;22.4;0.0;0.0
72.1;73.6;72.1;21.9;0.0;0.0
72.1;73.7;72.1;21.5;0.0;0.0
72.2;73.7;72.2;21.1;0.0;0.0
72.1;73.7;72.1;20.7;0.0;0.0
71.9;73.5;71.9;20.3;0.0;0.0
71.7;73.2;71.7;19.9;0.0;0.0
71.4;72.9;71.4;19.6;0.0;0.0
71.1;72.6;71.1;19.2;0.0;0.0
70.7;72.3;70.7;18.9;0.0;0.0
70.5;72.0;70.5;18.5;0.0;0.0
70.3;71.8;70.3;18.1;0.0;0.0
70.1;71.6;70.1;17.9;0.0;0.0
70.0;71.5;70.0;17.6;0.0;0.0
69.9;71.4;69.9;17.2;0.0;0.0
69.8;71.3;69.8;17.0;0.0;0.0
69.7;71.2;69.7;16.7;0.0;0.0
69.5;71.0;69.5;16.4;0.0;0.0
69.3;70.8;69.3;16.2;0.0;0.0
69.1;70.6;69.1;15.9;0.0;0.0
68.9;70.3;68.9;15.7;0.0;0.0
68.7;70.2;68.7;15.5;0.0;0.0
68.5;70.0;68.5;15.3;0.0;0.0
