gen_0_5;gen_1_0;gen_2_1;gen_5_2;gen_5_3;balance
80.7;81.4;79.3;5.3;0.0;0.0
80.8;82.5;80.7;5.3;0.0;0.0
81.9;82.7;81.6;5.4;0.0;0.0
81.5;81.2;81.7;5.5;0.0;0.0
82.4;83.1;81.9;5.7;0.0;0.0
80.2;82.6;80.5;5.8;0.0;0.0
80.4;81.9;80.4;5.8;0.0;0.0
80.8;82.0;80.9;5.9;0.0;0.0
80.9;81.7;80.5;6.0;0.0;0.0
79.9;80.5;80.0;6.0;0.0;0.0
77.4;81.0;79.7;6.2;0.0;0.0
78.1;81.3;80.0;6.1;0.0;0.0
78.5;80.6;78.1;6.3;0.0;0.0
79.0;80.6;79.6;6.2;0.0;0.0
78.2;80.4;78.6;6.4;0.0;0.0
77.7;80.6;79.2;6.4;0.0;0.0
78.5;80.7;78.3;6.5;0.0;0.0
79.2;81.6;79.4;6.6;0.0;0.0
77.7;81.6;79.2;6.6;0.0;0.0
79.9;80.8;79.9;6.6;0.0;0.0
79.5;81.5;80.2;6.7;0.0;0.0
77.9;81.2;79.1;6.8;0.0;0.0
79.0;80.1;77.1;6.6;0.0;0.0
79.4;79.6;79.4;6.6;0.0;0.0
79.6;80.9;80.6;6.7;0.0;0.0
79.9;81.1;80.0;6.7;0.0;0.0
78.5;81.0;78.1;6.8;0.0;0.0
78.6;82.9;78.4;6.8;0.0;0.0
78.9;81.4;79.8;6.9;0.0;0.0
79.0;80.2;80.0;7.0;0.0;0.0
79.1;80.2;80.2;6.8;0.0;0.0
79.2;80.4;80.1;6.8;0.0;0.0
77.9;81.5;80.5;6.8;0.0;0.0
77.4;81.1;78.2;6.9;0.0;0.0
78.7;80.2;77.8;6.7;0.0;0.0
77.2;79.1;78.0;6.8;0.0;0.0
76.0;77.5;76.6;6.8;0.0;0.0
77.9;80.7;76.3;6.8;0.0;0.0
78.0;78.5;77.3;6.7;0.0;0.0
76.2;78.8;76.8;6.7;0.0;0.0
75.7;78.1;77.4;6.8;0.0;0.0
78.0;77.5;77.0;6.8;0.0;0.0
75.1;76.7;77.7;6.7;0.0;0.0
76.1;78.2;76.9;6.7;0.0;0.0
75.9;76.5;76.2;6.7;0.0;0.0
74.9;78.1;76.0;6.8;0.0;0.0
73.9;76.9;74.9;6.6;0.0;0.0
75.7;77.3;74.1;6.6;0.0;0.0
75.4;77.0;75.2;6.6;0.0;0.0
74.2;76.7;74.0;6.6;0.0;0.0
74.9;75.0;73.6;6.7;0.0;0.0
74.1;76.3;74.7;6.5;0.0;0.0
74.7;75.7;74.1;6.6;0.0;0.0
72.8;76.3;73.9;6.5;0.0;0.0
73.2;75.5;74.2;6.6;0.0;0.0
73.7;76.3;74.3;6.4;0.0;0.0
74.1;75.3;73.5;6.5;0.0;0.0
73.9;75.1;74.2;6.5;0.0;0.0
74.0;75.9;73.8;6.6;0.0;0.0
75.0;75.6;73.1;6.6;0.0;0.0
73.7;74.7;73.9;6.5;0.0;0.0
73.5;73.9;73.4;6.6;0.0;0.0
72.3;75.4;72.2;6.5;0.0;0.0
73.1;75.8;73.3;6.6;0.0;0.0
74.0;75.8;73.4;6.7;0.0;0.0
73.2;74.7;75.1;6.6;0.0;0.0
75.0;75.8;73.3;6.6;0.0;0.0
73.6;75.6;75.0;6.6;0.0;0.0
73.3;75.2;73.8;6.7;0.0;0.0
73.3;76.0;75.3;6.8;0.0;0.0
72.9;75.9;74.7;6.7;0.0;0.0
74.4;75.2;73.7;6.9;0.0;0.0
74.2;76.7;73.5;7.0;0.0;0.0
73.2;75.2;73.4;6.9;0.0;0.0
74.9;75.4;74.3;7.1;0.0;0.0
72.5;75.8;73.3;7.2;0.0;0.0
74.6;75.5;74.4;7.1;0.0;0.0
72.9;77.1;73.7;7.4;0.0;0.0
74.4;76.0;73.5;7.4;0.0;0.0
74.8;75.5;74.4;7.5;0.0;0.0
74.5;76.1;74.5;7.7;0.0;0.0
74.4;76.0;75.9;7.8;0.0;0.0
75.6;76.0;74.7;7.8;0.0;0.0
72.5;75.4;73.8;8.0;0.0;0.0
73.6;75.1;73.7;8.1;0.0;0.0
74.4;75.0;74.0;8.2;0.1;0.1
74.9;75.9;75.1;8.3;0.2;0.1
75.1;77.4;73.5;8.5;0.2;0.2
73.5;75.7;73.0;8.6;0.3;0.2
74.9;76.3;74.8;8.7;0.5;0.3
74.6;75.4;75.0;8.7;0.6;0.4
75.0;75.1;73.4;8.8;0.9;0.5
74.5;75.1;74.1;8.9;1.1;0.6
75.2;75.4;74.4;8.8;1.4;0.7
73.5;75.1;74.1;9.0;1.6;0.9
73.3;76.6;73.6;9.2;2.0;1.1
73.2;74.8;73.1;9.2;2.5;1.4
72.4;74.6;73.8;9.4;3.3;1.8
73.3;74.6;72.7;9.6;4.5;2.4
72.2;73.2;71.1;9.5;5.7;3.0
72.4;73.0;71.9;9.5;6.8;3.6
72.9;73.3;70.1;9.5;7.3;4.0
72.7;72.8;70.9;9.3;7.4;4.3
71.9;73.2;71.4;9.6;7.2;4.5
72.5;74.8;71.5;9.6;6.8;4.5
71.4;73.9;72.0;9.4;7.2;4.7
72.8;74.5;73.1;9.6;8.0;4.9
71.8;72.8;71.0;9.4;9.0;5.1
71.5;72.7;71.8;9.4;9.6;5.2
72.5;74.3;72.1;9.4;9.6;5.3
72.1;74.5;72.7;9.5;9.1;5.2
72.9;73.3;72.7;9.3;8.6;5.3
73.6;75.0;72.2;9.4;8.7;5.8
73.3;73.4;72.9;9.4;9.7;6.5
72.4;73.5;71.9;9.2;11.9;7.4
71.1;73.1;71.2;9.1;14.4;8.5
68.7;72.6;70.5;9.2;16.1;9.1
69.3;71.7;68.8;9.2;17.8;9.7
70.7;70.4;69.6;9.2;18.2;9.8
70.2;72.6;69.6;9.3;18.7;9.8
69.5;70.2;69.1;9.1;19.3;10.2
69.3;70.7;68.6;9.3;20.3;10.9
69.2;70.8;68.8;9.3;20.9;12.2
67.8;69.3;68.6;9.3;21.4;13.2
67.9;70.3;68.1;9.4;22.1;13.9
68.3;68.9;67.5;9.2;22.1;13.9
68.4;69.2;67.7;9.2;22.2;13.8
68.5;70.4;67.8;9.4;22.0;13.1
70.1;70.6;68.0;9.4;21.1;12.7
69.3;71.4;69.4;9.4;20.9;12.0
70.7;71.3;69.8;9.4;20.2;11.5
69.1;71.5;68.7;9.5;20.3;11.3
68.7;71.5;69.0;9.5;20.3;11.4
68.7;72.3;70.1;9.7;21.5;12.0
69.4;70.7;68.9;9.7;22.8;12.4
66.3;69.8;68.6;9.8;23.3;13.1
67.5;68.9;66.7;9.8;24.0;12.9
68.2;69.1;69.6;9.8;23.3;12.6
68.0;69.5;68.6;9.7;22.1;12.1
69.9;71.2;70.2;9.8;20.4;11.3
71.4;72.4;69.9;9.8;19.5;10.4
73.3;71.2;70.9;10.1;18.5;10.4
69.8;72.3;70.5;10.1;18.8;10.7
69.8;70.8;70.5;10.0;19.0;11.4
69.9;70.9;69.6;10.0;19.0;11.9
69.1;72.1;70.2;10.0;18.9;12.0
70.2;72.0;69.9;10.5;18.8;12.4
69.7;70.9;69.4;10.2;18.7;12.5
69.2;71.4;68.3;10.4;20.2;12.6
69.2;70.4;67.8;10.4;23.1;12.9
67.2;68.6;66.7;10.3;25.6;13.9
66.1;67.6;67.3;10.4;27.3;14.2
66.9;68.8;67.0;10.5;28.0;14.1
67.0;68.0;67.0;10.6;26.7;13.8
69.4;69.0;68.4;10.8;23.9;13.1
69.6;74.0;69.9;10.6;20.4;12.5
71.0;72.9;71.4;10.9;18.6;11.7
70.7;71.2;70.8;10.7;17.4;11.3
71.1;73.2;70.9;10.9;17.7;11.0
70.4;72.4;70.7;10.8;18.2;10.9
69.7;71.7;69.5;10.9;19.3;10.9
70.2;71.3;68.8;11.1;18.6;11.0
68.9;71.1;68.2;11.2;18.2;11.1
68.0;70.5;68.0;11.2;17.3;10.9
