gen_0_5;gen_1_0;gen_2_1;gen_5_2;gen_5_3;balance
80.9;82.7;80.9;5.3;0.0;0.0
81.1;82.8;81.1;5.5;0.0;0.0
81.1;82.9;81.1;5.6;0.0;0.0
81.1;82.8;81.1;5.7;0.0;0.0
81.0;82.7;81.0;5.7;0.0;0.0
80.8;82.5;80.8;5.8;0.0;0.0
80.5;82.2;80.5;5.9;0.0;0.0
80.1;81.9;80.1;6.0;0.0;0.0
79.8;81.5;79.8;6.1;0.0;0.0
79.4;81.2;79.4;6.2;0.0;0.0
79.1;80.8;79.1;6.2;0.0;0.0
78.9;80.6;78.9;6.2;0.0;0.0
78.7;80.4;78.7;6.3;0.0;0.0
78.7;80.4;78.7;6.4;0.0;0.0
78.7;80.4;78.7;6.4;0.0;0.0
78.8;80.5;78.8;6.5;0.0;0.0
78.9;80.6;78.9;6.6;0.0;0.0
79.1;80.8;79.1;6.6;0.0;0.0
79.2;80.9;79.2;6.7;0.0;0.0
79.2;81.0;79.2;6.7;0.0;0.0
79.3;81.0;79.3;6.7;0.0;0.0
79.2;81.0;79.2;6.7;0.0;0.0
79.2;80.9;79.2;6.8;0.0;0.0
79.2;80.9;79.2;6.8;0.0;0.0
79.2;80.9;79.2;6.8;0.0;0.0
79.3;81.0;79.3;6.8;0.0;0.0
79.3;81.0;79.3;6.8;0.0;0.0
79.4;81.1;79.4;6.8;0.0;0.0
79.4;81.1;79.4;6.8;0.0;0.0
79.4;81.1;79.4;6.8;0.0;0.0
79.2;80.9;79.2;6.8;0.0;0.0
79.0;80.7;79.0;6.8;0.0;0.0
78.6;80.4;78.6;6.8;0.0;0.0
78.3;80.0;78.3;6.8;0.0;0.0
77.9;79.6;77.9;6.8;0.0;0.0
77.5;79.2;77.5;6.8;0.0;0.0
77.2;78.8;77.2;6.8;0.0;0.0
76.9;78.6;76.9;6.8;0.0;0.0
76.7;78.4;76.7;6.7;0.0;0.0
76.5;78.2;76.5;6.7;0.0;0.0
76.4;78.0;76.4;6.7;0.0;0.0
76.2;77.8;76.2;6.7;0.0;0.0
76.0;77.6;76.0;6.7;0.0;0.0
75.8;77.4;75.8;6.7;0.0;0.0
75.5;77.1;75.5;6.7;0.0;0.0
75.2;76.9;75.2;6.7;0.0;0.0
75.0;76.6;75.0;6.7;0.0;0.0
74.7;76.3;74.7;6.7;0.0;0.0
74.5;76.2;74.5;6.6;0.0;0.0
74.4;76.0;74.4;6.6;0.0;0.0
74.3;75.9;74.3;6.6;0.0;0.0
74.2;75.9;74.2;6.6;0.0;0.0
74.2;75.8;74.2;6.5;0.0;0.0
74.2;75.8;74.2;6.5;0.0;0.0
74.1;75.7;74.1;6.6;0.0;0.0
74.0;75.6;74.0;6.5;0.0;0.0
73.9;75.5;73.9;6.5;0.0;0.0
73.7;75.3;73.7;6.6;0.0;0.0
73.7;75.3;73.7;6.5;0.0;0.0
73.6;75.2;73.6;6.5;0.0;0.0
73.6;75.1;73.6;6.6;0.0;0.0
73.6;75.2;73.6;6.5;0.0;0.0
73.7;75.3;73.7;6.6;0.0;0.0
73.8;75.4;73.8;6.6;0.0;0.0
73.9;75.5;73.9;6.6;0.0;0.0
74.0;75.6;74.0;6.6;0.0;0.0
74.1;75.7;74.1;6.7;0.0;0.0
74.1;75.7;74.1;6.7;0.0;0.0
74.1;75.7;74.1;6.7;0.0;0.0
74.0;75.6;74.0;6.8;0.0;0.0
74.0;75.6;74.0;6.9;0.0;0.0
73.9;75.5;73.9;6.9;0.0;0.0
74.0;75.6;74.0;7.0;0.0;0.0
74.0;75.6;74.0;7.1;0.0;0.0
74.1;75.7;74.1;7.1;0.0;0.0
74.2;75.9;74.2;7.2;0.0;0.0
74.3;76.0;74.3;7.3;0.0;0.0
74.5;76.1;74.5;7.4;0.0;0.0
74.5;76.1;74.5;7.6;0.0;0.0
74.5;76.2;74.5;7.6;0.0;0.0
74.5;76.1;74.5;7.8;0.0;0.0
74.5;76.1;74.5;7.8;0.0;0.0
74.4;76.1;74.4;8.0;0.0;0.0
74.4;76.0;74.4;8.1;0.0;0.0
74.3;75.9;74.3;8.2;0.1;0.1
74.3;75.9;74.3;8.3;0.2;0.1
74.3;75.9;74.3;8.4;0.2;0.2
74.3;75.9;74.3;8.5;0.3;0.2
74.3;75.9;74.3;8.7;0.5;0.3
74.3;75.9;74.3;8.7;0.6;0.4
74.2;75.8;74.2;8.8;0.9;0.5
74.2;75.8;74.2;9.0;1.1;0.6
74.1;75.7;74.1;9.0;1.4;0.7
74.0;75.7;74.0;9.1;1.6;0.9
73.9;75.5;73.9;9.2;2.0;1.1
73.7;75.3;73.7;9.2;2.5;1.4
73.4;74.9;73.4;9.3;3.4;1.8
72.9;74.5;72.9;9.4;4.5;2.4
72.3;73.9;72.3;9.4;5.8;3.0
71.8;73.4;71.8;9.5;6.9;3.5
71.6;73.1;71.6;9.5;7.4;4.0
71.6;73.1;71.6;9.5;7.4;4.3
71.8;73.3;71.8;9.5;7.1;4.5
71.9;73.5;71.9;9.5;6.9;4.6
71.9;73.5;71.9;9.5;7.2;4.8
71.8;73.3;71.8;9.5;8.1;4.9
71.6;73.1;71.6;9.4;9.0;5.1
71.5;73.1;71.5;9.4;9.7;5.2
71.8;73.3;71.8;9.5;9.7;5.2
72.2;73.8;72.2;9.4;9.1;5.2
72.6;74.2;72.6;9.4;8.6;5.3
72.7;74.3;72.7;9.4;8.6;5.7
72.4;73.9;72.4;9.4;9.8;6.4
71.6;73.2;71.6;9.3;11.8;7.4
70.8;72.3;70.8;9.3;14.1;8.5
70.0;71.5;70.0;9.3;16.2;9.2
69.6;71.1;69.6;9.3;17.6;9.6
69.5;71.0;69.5;9.3;18.4;9.7
69.4;71.0;69.4;9.3;18.9;9.8
69.3;70.8;69.3;9.3;19.3;10.2
69.0;70.5;69.0;9.2;19.9;11.0
68.5;70.0;68.5;9.2;20.7;12.1
68.0;69.5;68.0;9.3;21.4;13.2
67.7;69.2;67.7;9.3;22.0;13.9
67.7;69.2;67.7;9.3;22.2;14.1
67.9;69.4;67.9;9.3;22.2;13.8
68.2;69.7;68.2;9.4;21.9;13.3
68.6;70.1;68.6;9.4;21.4;12.6
69.1;70.6;69.1;9.4;20.8;12.0
69.4;70.9;69.4;9.4;20.2;11.6
69.5;71.1;69.5;9.5;20.0;11.3
69.4;70.9;69.4;9.5;20.3;11.4
68.9;70.4;68.9;9.6;21.3;11.9
68.3;69.8;68.3;9.6;22.6;12.5
67.8;69.3;67.8;9.7;23.7;13.0
67.7;69.2;67.7;9.7;24.1;13.1
68.1;69.6;68.1;9.8;23.4;12.7
68.9;70.4;68.9;9.8;22.0;11.8
69.7;71.2;69.7;9.9;20.4;11.0
70.4;71.9;70.4;9.9;19.1;10.4
70.6;72.1;70.6;10.0;18.6;10.4
70.4;71.9;70.4;10.0;18.8;10.8
70.1;71.7;70.1;10.1;19.1;11.4
69.9;71.4;69.9;10.2;19.3;11.9
70.0;71.5;70.0;10.2;19.0;12.1
70.0;71.5;70.0;10.3;18.7;12.2
69.9;71.4;69.9;10.3;18.9;12.3
69.4;70.9;69.4;10.4;20.2;12.6
68.5;70.0;68.5;10.4;22.7;13.1
67.4;68.9;67.4;10.5;25.4;13.7
66.7;68.1;66.7;10.5;27.4;14.2
66.6;68.0;66.6;10.6;28.0;14.3
67.3;68.8;67.3;10.6;26.6;13.9
68.5;70.0;68.5;10.7;23.8;13.1
69.9;71.4;69.9;10.7;20.7;12.3
70.9;72.4;70.9;10.8;18.2;11.6
71.1;72.7;71.1;10.8;17.4;11.2
70.7;72.3;70.7;10.9;17.7;11.0
70.1;71.6;70.1;10.9;18.6;11.0
69.4;70.9;69.4;11.0;19.1;11.0
68.9;70.3;68.9;11.1;19.0;11.0
68.5;70.0;68.5;11.1;18.3;11.0
68.3;69.7;68.3;11.2;17.5;10.9
68.0;69.5;68.0;11.2;17.0;10.7
67.6;69.1;67.6;11.2;16.9;10.5
67.3;68.7;67.3;11.3;17.0;10.2
67.1;68.5;67.1;11.3;17.0;9.8
67.1;68.5;67.1;11.3;16.5;9.3
67.4;68.8;67.4;11.4;15.3;8.6
67.8;69.3;67.8;11.5;13.9;8.0
68.3;69.8;68.3;11.5;12.4;7.4
68.7;70.1;68.7;11.5;11.3;6.9
68.8;70.3;68.8;11.5;10.7;6.6
68.7;70.2;68.7;11.6;10.5;6.4
68.6;70.0;68.6;11.6;10.4;6.2
68.4;69.9;68.4;11.6;10.1;5.9
68.4;69.8;68.4;11.7;9.7;5.6
68.3;69.8;68.3;11.7;9.1;5.3
68.3;69.8;68.3;11.8;8.4;5.0
68.3;69.8;68.3;11.8;7.8;4.7
68.3;69.8;68.3;11.8;7.2;4.5
68.4;69.9;68.4;11.9;6.6;4.2
